,phrases,total,count_ https://lasergolfrangefinder.com/,count_ https://www.amazon.com/Golf-Range-Finders/b?ie=UTF8&node=3411111
1200,"('yards', 'yardx', 'advanced')",1,1,0
1198,"('yards', 'yardx', 'magnification')",1,1,1
1192,"('range', 'yards', 'advanced')",1,1,1
1197,"('vibrate', 'locked')",1,1,0
1060,"('yards', 'flagx', 'jolt')",1,1,1
1196,"('range', 'magnification', 'advanced')",1,0,1
1061,"('years', 'prosit')",1,0,1
1195,"('make', 'vibrate')",1,1,1
1062,"('yards', 'magnification', 'jolt')",1,1,0
1194,"('range', 'yardx', 'advanced')",1,1,0
1063,"('prosit', 'lightweight')",1,1,1
1238,"('advanced', 'technology', 'resistant')",1,0,1
1454,"('rating', 'picsbushnell', 'xmax')",1,0,1
1369,"('make', 'good')",1,1,1
1670,"('golf', 'rangefinder', 'should')",1,0,1
1680,"('rangefinder', 'reviews', 'should')",1,2,0
1679,"('accurate', 'rangefinder')",1,0,1
1678,"('golf', 'should', 'shouldn')",1,1,1
1677,"('technology', 'accurate')",1,2,0
1676,"('golf', 'reviews', 'shouldn')",1,0,1
1675,"('thanks', 'slope')",1,1,1
1674,"('golf', 'reviews', 'should')",1,2,0
1673,"('easy', 'thanks')",1,0,1
1672,"('golf', 'rangefinder', 'shouldn')",1,1,1
1671,"('quick', 'easy')",1,2,0
1669,"('feature', 'quick')",1,1,1
1655,"('look', 'toggle')",1,0,1
1667,"('compensating', 'feature')",1,0,1
1666,"('picscontents', 'reviews', 'should')",1,1,1
1664,"('picscontents', 'rangefinder', 'should')",1,0,1
1663,"('changing', 'slope')",1,1,1
1662,"('picscontents', 'rangefinder', 'reviews')",1,1,0
1661,"('displays', 'changing')",1,0,1
1660,"('picscontents', 'golf', 'should')",1,1,1
1659,"('different', 'displays')",1,1,0
1658,"('picscontents', 'golf', 'reviews')",1,0,1
1657,"('toggle', 'different')",1,1,1
1681,"('rangefinder', 'long')",1,1,1
1682,"('rangefinder', 'reviews', 'shouldn')",1,0,1
1683,"('enough', 'range')",1,2,0
1685,"('range', 'sturdy')",1,0,1
1709,"('ensure', 'hold')",1,0,1
1707,"('grip', 'ensure')",1,1,0
1706,"('should', 'shouldn', 'some')",1,0,1
1705,"('weather', 'uses')",1,1,1
1703,"('suitable', 'weather')",1,0,1
1701,"('making', 'suitable')",1,1,0
1700,"('reviews', 'shouldn', 'rangefinder')",1,0,1
1699,"('also', 'making')",1,1,1
1698,"('reviews', 'shouldn', 'golf')",1,1,0
1697,"('falls', 'also')",1,0,1
1696,"('reviews', 'should', 'rangefinder')",1,1,1
1695,"('accidental', 'falls')",1,1,0
1694,"('reviews', 'should', 'golf')",1,0,1
1693,"('damages', 'accidental')",1,1,1
1692,"('reviews', 'should', 'shouldn')",1,1,0
1691,"('prevent', 'damages')",1,0,1
1690,"('rangefinder', 'shouldn', 'golf')",1,1,2
1689,"('housing', 'prevent')",1,1,0
1688,"('rangefinder', 'should', 'golf')",1,0,1
1687,"('waterproof', 'housing')",1,1,1
1686,"('rangefinder', 'should', 'shouldn')",1,2,0
1656,"('picscontents', 'golf', 'rangefinder')",1,1,0
1654,"('reviews', 'rangefinder', 'reviews')",1,1,1
1601,"('features', 'rangefinder')",1,0,1
1615,"('easy', 'move')",1,1,1
1626,"('rating', 'reviews', 'picscontents')",1,1,0
1624,"('rating', 'price', 'golf')",1,1,1
1623,"('comes', 'sturdy')",1,1,0
1622,"('rating', 'price', 'picscontents')",1,0,1
1621,"('housing', 'this')",1,1,1
1620,"('approvededitor', 'reviews', 'picscontents')",1,1,0
1619,"('feature', 'armored')",1,0,1
1618,"('approvededitor', 'price', 'picscontents')",1,1,1
1617,"('move', 'slope')",1,2,0
1616,"('approvededitor', 'rating', 'picscontents')",1,0,1
1614,"('display', 'rating', 'price')",1,1,0
1653,"('overall', 'look')",1,1,0
1613,"('switch', 'make')",1,0,1
1612,"('display', 'approvededitor', 'price')",1,1,1
1610,"('display', 'approvededitor', 'rating')",1,0,1
1609,"('appealing', 'also')",1,1,1
1608,"('display', 'technologyusga', 'price')",1,1,0
1607,"('even', 'appealing')",1,0,1
1606,"('display', 'technologyusga', 'rating')",1,1,1
1605,"('makes', 'even')",1,1,0
1604,"('display', 'technologyusga', 'approvededitor')",1,0,1
1603,"('rangefinder', 'makes')",1,1,1
1627,"('waterproof', 'metal')",1,1,1
1628,"('rating', 'reviews', 'golf')",1,0,1
1629,"('metal', 'casing')",1,1,0
1630,"('rating', 'picscontents', 'golf')",1,1,1
1652,"('reviews', 'golf', 'reviews')",1,0,1
1651,"('appealing', 'overall')",1,1,1
1649,"('sturdy', 'appealing')",1,0,1
1648,"('reviews', 'picscontents', 'reviews')",1,1,1
1647,"('rangefinder', 'sturdy')",1,1,0
1646,"('reviews', 'picscontents', 'rangefinder')",1,0,1
1645,"('prosthis', 'rangefinder')",1,1,1
1644,"('reviews', 'picscontents', 'golf')",1,1,0
1643,"('weather', 'prosthis')",1,0,1
1642,"('price', 'golf', 'rangefinder')",1,1,1
1641,"('even', 'weather')",1,1,0
1640,"('price', 'picscontents', 'rangefinder')",1,0,1
1639,"('suitable', 'even')",1,1,1
1638,"('price', 'picscontents', 'golf')",1,1,0
1637,"('makes', 'suitable')",1,0,1
1636,"('price', 'reviews', 'rangefinder')",1,1,1
1635,"('damages', 'also')",1,1,0
1634,"('price', 'reviews', 'golf')",1,0,1
1633,"('protects', 'damages')",1,1,1
1632,"('price', 'reviews', 'picscontents')",1,1,0
1631,"('casing', 'protects')",1,0,1
1710,"('should', 'golf', 'some')",1,1,0
1711,"('hold', 'operate')",1,1,2
1712,"('should', 'rangefinder', 'some')",1,0,1
1780,"('brands', 'golf', 'golf')",1,1,1
1797,"('also', 'lightweight')",1,1,0
1795,"('well', 'also')",1,1,1
1793,"('works', 'well')",1,0,1
1791,"('still', 'works')",1,1,0
1790,"('what', 'rangefinder', 'rangefinder')",1,0,1
1789,"('coolshot', 'still')",1,2,1
1787,"('like', 'nikon')",1,0,1
1785,"('compact', 'like')",1,1,0
1782,"('brands', 'rangefinder', 'golf')",1,1,0
1781,"('convenient', 'small')",1,0,1
1778,"('brands', 'golf', 'rangefinder')",1,0,1
1713,"('operate', 'well')",1,1,0
1777,"('expensive', 'rangefinder')",1,1,1
1776,"('brands', 'what', 'rangefinder')",1,1,0
1775,"('large', 'expensive')",1,0,1
1773,"('need', 'large')",1,1,0
1772,"('famous', 'golf', 'rangefinder')",1,0,1
1771,"('rangefinderyou', 'need')",1,1,1
1770,"('famous', 'what', 'rangefinder')",1,1,0
1769,"('golf', 'rangefinderyou')",1,0,1
1768,"('famous', 'what', 'golf')",1,1,1
1767,"('coolshot', 'golf')",1,1,0
1798,"('golf', 'golf', 'help')",1,1,1
1799,"('lightweight', 'rangefinder')",1,0,1
1800,"('rangefinder', 'golf', 'help')",1,1,0
1802,"('rangefinder', 'golf', 'which')",1,0,1
1831,"('mode', 'second')",1,2,1
1830,"('help', 'which', 'best')",1,1,0
1828,"('help', 'which', 'rangefinder')",1,2,1
1826,"('help', 'which', 'golf')",1,0,1
1825,"('these', 'features')",1,1,1
1824,"('rangefinder', 'which', 'rangefinder')",1,1,0
1823,"('features', 'these')",1,0,1
1822,"('rangefinder', 'which', 'golf')",1,1,1
1821,"('impressive', 'features')",1,1,0
1819,"('also', 'comes')",1,2,1
1817,"('size', 'also')",1,0,1
1816,"('golf', 'which', 'golf')",1,1,1
1815,"('small', 'size')",1,1,0
1813,"('despite', 'small')",1,2,1
1812,"('golf', 'help', 'which')",1,1,0
1811,"('ease', 'despite')",1,0,1
1810,"('golf', 'rangefinder', 'which')",1,4,1
1809,"('pocket', 'ease')",1,1,0
1807,"('slide', 'pocket')",1,1,1
1806,"('rangefinder', 'rangefinder', 'which')",1,1,0
1805,"('handle', 'slide')",1,0,1
1766,"('famous', 'brands', 'rangefinder')",1,0,1
1764,"('famous', 'brands', 'golf')",1,1,0
1763,"('complicated', 'nikon')",1,0,1
1737,"('price', 'higher')",1,1,0
1735,"('rangefinderconsthe', 'price')",1,1,2
1734,"('golf', 'some', 'brands')",1,1,0
1733,"('legal', 'rangefinderconsthe')",1,0,1
1732,"('golf', 'some', 'famous')",1,1,1
1731,"('target', 'tournament')",1,1,0
1730,"('golf', 'rangefinder', 'brands')",1,0,1
1729,"('lock', 'target')",1,4,1
1728,"('golf', 'rangefinder', 'famous')",1,1,0
1727,"('alert', 'lock')",1,0,1
1726,"('golf', 'rangefinder', 'some')",1,1,1
1725,"('vibrations', 'alert')",1,1,0
1724,"('shouldn', 'some', 'famous')",1,0,1
1723,"('produces', 'vibrations')",1,1,1
1722,"('shouldn', 'rangefinder', 'famous')",1,1,0
1721,"('tech', 'produces')",1,0,1
1720,"('shouldn', 'rangefinder', 'some')",1,1,1
1719,"('shaking', 'jolt')",1,3,0
1718,"('shouldn', 'golf', 'famous')",1,0,1
1717,"('minimum', 'shaking')",1,1,1
1716,"('shouldn', 'golf', 'some')",1,1,0
1715,"('well', 'minimum')",1,0,1
1736,"('golf', 'famous', 'brands')",1,0,1
1738,"('rangefinder', 'some', 'famous')",1,1,1
1762,"('famous', 'brands', 'what')",1,1,1
1739,"('higher', 'many')",1,0,1
1761,"('data', 'complicated')",1,1,0
1760,"('some', 'what', 'golf')",1,0,1
1759,"('fuind', 'data')",1,1,1
1758,"('some', 'brands', 'golf')",1,1,0
1757,"('also', 'fuind')",1,0,1
1756,"('some', 'brands', 'what')",1,1,1
1755,"('might', 'also')",1,1,0
1753,"('beginners', 'might')",1,1,1
1752,"('some', 'famous', 'what')",1,1,0
1751,"('used', 'beginners')",1,0,1
1750,"('some', 'famous', 'brands')",1,2,1
1749,"('long', 'used')",1,1,0
1748,"('rangefinder', 'brands', 'what')",1,0,1
1747,"('take', 'long')",1,2,1
1746,"('rangefinder', 'famous', 'what')",1,3,0
1745,"('features', 'take')",1,0,1
1744,"('rangefinder', 'famous', 'brands')",1,9,1
1743,"('some', 'features')",1,1,0
1742,"('rangefinder', 'some', 'what')",1,0,1
1741,"('golfers', 'some')",1,1,1
1740,"('rangefinder', 'some', 'brands')",1,1,0
1602,"('dual', 'approvededitor', 'rating')",1,1,0
1600,"('dual', 'technologyusga', 'rating')",1,1,1
1370,"('yards', 'magnification', 'target')",1,0,3
1437,"('tournaments', 'needs')",1,1,0
1447,"('well', 'battery')",1,2,1
1446,"('weatherproofusga', 'rating', 'reviews')",1,5,0
1445,"('work', 'well')",1,0,1
1444,"('weatherproofusga', 'rating', 'price')",1,1,1
1443,"('hands', 'work')",1,1,0
1442,"('weatherproofusga', 'approvededitor', 'reviews')",1,0,2
1441,"('steady', 'hands')",1,1,1
1440,"('weatherproofusga', 'approvededitor', 'price')",1,1,0
1439,"('needs', 'steady')",1,0,1
1438,"('weatherproofusga', 'approvededitor', 'rating')",1,1,1
1436,"('technology', 'rating', 'price')",1,0,1
1424,"('priority', 'weatherproofusga', 'rating')",1,0,1
1435,"('feature', 'legal')",1,1,1
1434,"('technology', 'approvededitor', 'price')",1,1,0
1433,"('slope', 'feature')",1,0,1
1432,"('technology', 'weatherproofusga', 'price')",1,1,1
1431,"('best', 'slope')",1,1,0
1430,"('technology', 'weatherproofusga', 'rating')",1,0,1
1429,"('still', 'best')",1,1,1
1428,"('technology', 'weatherproofusga', 'approvededitor')",1,1,0
1427,"('magnification', 'still')",1,0,1
1426,"('priority', 'approvededitor', 'rating')",1,1,1
1448,"('weatherproofusga', 'price', 'reviews')",1,0,1
1449,"('battery', 'quite')",1,5,0
1450,"('rating', 'price', 'xmax')",1,1,1
1451,"('quite', 'hard')",1,0,1
1475,"('features', 'pinseaker')",1,0,1
1472,"('picsbushnell', 'xmax', 'range')",1,0,1
1471,"('best', 'bushnell')",1,2,1
1470,"('reviews', 'xmax', 'yards')",1,1,0
1469,"('ensure', 'best')",1,0,1
1468,"('reviews', 'xmax', 'range')",1,1,1
1467,"('always', 'ensure')",1,2,0
1466,"('reviews', 'picsbushnell', 'yards')",1,0,1
1465,"('course', 'always')",1,1,1
1464,"('reviews', 'picsbushnell', 'xmax')",1,5,0
1463,"('devices', 'course')",1,0,1
1462,"('price', 'xmax', 'range')",1,1,1
1461,"('helpful', 'devices')",1,2,0
1460,"('price', 'picsbushnell', 'range')",1,0,1
1459,"('rangefinder', 'helpful')",1,1,1
1458,"('price', 'picsbushnell', 'xmax')",1,2,0
1457,"('bushnell', 'rangefindera')",1,0,1
1456,"('price', 'reviews', 'xmax')",1,1,1
1455,"('insert', 'bushnell')",1,5,0
1453,"('hard', 'insert')",1,4,1
1452,"('rating', 'reviews', 'xmax')",1,2,0
1425,"('consthe', 'magnification')",1,1,0
1423,"('bushnell', 'consthe')",1,1,1
1599,"('feature', 'best')",1,1,0
1382,"('magnification', 'first', 'priority')",1,0,1
1394,"('first', 'target', 'technology')",1,0,1
1393,"('quite', 'fair')",1,1,1
1390,"('magnification', 'priority', 'technology')",1,1,1
1389,"('quickly', 'price')",1,1,0
1388,"('magnification', 'target', 'technology')",1,0,1
1387,"('focuses', 'quickly')",1,1,1
1386,"('magnification', 'target', 'priority')",1,1,0
1385,"('versionit', 'focuses')",1,0,1
1384,"('magnification', 'first', 'technology')",1,1,1
1383,"('slope', 'versionit')",1,1,0
1381,"('choose', 'slope')",1,1,1
1422,"('priority', 'weatherproofusga', 'approvededitor')",1,1,0
1380,"('magnification', 'first', 'target')",1,1,0
1379,"('golfers', 'choose')",1,0,1
1378,"('yards', 'target', 'priority')",1,1,1
1377,"('benefit', 'golfers')",1,1,0
1376,"('yards', 'first', 'priority')",1,0,2
1375,"('huge', 'benefit')",1,1,1
1374,"('yards', 'first', 'target')",1,1,0
1373,"('technology', 'huge')",1,0,1
1372,"('yards', 'magnification', 'priority')",1,3,1
1371,"('good', 'slope')",1,1,0
1395,"('fair', 'control')",1,2,0
1396,"('first', 'target', 'weatherproofusga')",1,1,1
1397,"('control', 'button')",1,0,1
1398,"('first', 'priority', 'technology')",1,1,0
1421,"('rangefinders', 'bushnell')",1,0,1
1420,"('priority', 'technology', 'rating')",1,1,1
1419,"('accurate', 'rangefinders')",1,2,0
1418,"('priority', 'technology', 'approvededitor')",1,0,1
1417,"('tour', 'accurate')",1,1,1
1416,"('priority', 'technology', 'weatherproofusga')",1,1,0
1415,"('advantage', 'bushnell')",1,0,1
1414,"('target', 'weatherproofusga', 'approvededitor')",1,1,1
1412,"('target', 'technology', 'approvededitor')",1,0,1
1411,"('also', 'significant')",1,1,1
1410,"('target', 'technology', 'weatherproofusga')",1,1,0
1409,"('fantastic', 'also')",1,0,1
1408,"('target', 'priority', 'approvededitor')",1,1,1
1407,"('feature', 'fantastic')",1,2,0
1406,"('target', 'priority', 'weatherproofusga')",1,0,1
1405,"('jolt', 'feature')",1,1,1
1403,"('easy', 'jolt')",1,0,1
1402,"('first', 'technology', 'weatherproofusga')",1,1,1
1401,"('everything', 'makes')",1,1,0
1400,"('first', 'priority', 'weatherproofusga')",1,0,1
1399,"('button', 'everything')",1,2,1
1476,"('picsbushnell', 'yards', 'yards')",1,1,0
1477,"('pinseaker', 'jolt')",1,1,1
1479,"('tech', 'dual')",1,1,0
1554,"('technology', 'technology', 'dual')",1,1,0
1568,"('jolt', 'technology', 'dual')",1,0,1
1566,"('pinseeker', 'dual', 'display')",1,7,0
1564,"('pinseeker', 'technology', 'display')",1,1,1
1563,"('grip', 'excessive')",1,4,0
1562,"('pinseeker', 'technology', 'dual')",1,0,1
1561,"('lighting', 'stable')",1,1,1
1560,"('pinseeker', 'jolt', 'display')",1,2,0
1559,"('conditions', 'lighting')",1,0,1
1558,"('pinseeker', 'jolt', 'dual')",1,1,1
1555,"('prevailing', 'weather')",1,1,1
1553,"('preferences', 'prevailing')",1,0,1
1480,"('xmax', 'range', 'flagx')",1,1,1
1552,"('technology', 'jolt', 'dual')",1,1,1
1551,"('depending', 'preferences')",1,1,0
1550,"('technology', 'jolt', 'technology')",1,0,1
1549,"('display', 'depending')",1,1,1
1548,"('technology', 'pinseeker', 'dual')",1,2,0
1547,"('black', 'display')",1,0,1
1546,"('technology', 'pinseeker', 'technology')",1,1,1
1545,"('sharp', 'black')",1,1,0
1544,"('technology', 'pinseeker', 'jolt')",1,0,1
1543,"('vivid', 'sharp')",1,1,1
1569,"('hands', 'common')",1,2,0
1571,"('common', 'causes')",1,0,1
1572,"('jolt', 'technology', 'technologyusga')",1,2,0
1573,"('causes', 'inaccurate')",1,1,1
1598,"('dual', 'technologyusga', 'approvededitor')",1,0,1
1596,"('dual', 'display', 'rating')",1,3,0
1594,"('dual', 'display', 'approvededitor')",1,1,1
1593,"('tech', 'slope')",1,1,0
1592,"('dual', 'display', 'technologyusga')",1,0,1
1591,"('hands', 'slope')",1,1,1
1590,"('technology', 'technologyusga', 'approvededitor')",1,1,0
1589,"('preventing', 'excessive')",1,0,1
1588,"('technology', 'display', 'approvededitor')",1,2,1
1587,"('readings', 'preventing')",1,2,0
1586,"('technology', 'display', 'technologyusga')",1,0,1
1585,"('accurate', 'readings')",1,1,1
1584,"('technology', 'dual', 'approvededitor')",1,2,0
1583,"('operate', 'accurate')",1,0,1
1582,"('technology', 'dual', 'technologyusga')",1,1,1
1580,"('technology', 'dual', 'display')",1,0,1
1579,"('rangefinder', 'uses')",1,1,1
1578,"('jolt', 'display', 'technologyusga')",1,2,0
1577,"('readings', 'rangefinder')",1,0,1
1576,"('jolt', 'dual', 'technologyusga')",1,1,1
1575,"('inaccurate', 'readings')",1,2,0
1542,"('switch', 'jolt', 'technology')",1,2,0
1541,"('pick', 'vivid')",1,0,1
1540,"('switch', 'pinseeker', 'technology')",1,1,1
1512,"('magnification', 'slope', 'pinseeker')",1,1,0
1510,"('magnification', 'slope', 'switch')",1,1,1
1509,"('pinseeker', 'technologies')",1,1,0
1508,"('flagx', 'switch', 'technology')",1,0,1
1507,"('jolt', 'pinseeker')",1,1,1
1506,"('flagx', 'slope', 'technology')",1,2,0
1505,"('picsfeatures', 'jolt')",1,0,1
1504,"('flagx', 'slope', 'switch')",1,2,1
1503,"('durability', 'amazon')",1,1,0
1502,"('flagx', 'magnification', 'technology')",1,0,1
1501,"('housing', 'durability')",1,2,1
1500,"('flagx', 'magnification', 'switch')",1,1,0
1498,"('flagx', 'magnification', 'slope')",1,2,1
1497,"('operate', 'armored')",1,1,0
1496,"('yards', 'slope', 'switch')",1,0,1
1494,"('yards', 'magnification', 'switch')",1,1,0
1492,"('yards', 'flagx', 'switch')",1,3,1
1489,"('also', 'stable')",1,1,1
1486,"('yards', 'yards', 'slope')",1,2,1
1485,"('tech', 'magnification')",1,1,0
1482,"('xmax', 'yards', 'yards')",1,2,0
1481,"('display', 'slope')",1,0,1
1511,"('technologies', 'always')",1,0,1
1513,"('always', 'look')",1,1,1
1539,"('rangefinder', 'pick')",1,2,0
1514,"('magnification', 'switch', 'technology')",1,0,1
1538,"('switch', 'pinseeker', 'jolt')",1,0,1
1537,"('with', 'rangefinder')",1,1,1
1536,"('switch', 'technology', 'technology')",1,1,0
1535,"('display', 'with')",1,0,1
1534,"('switch', 'technology', 'jolt')",1,1,1
1533,"('flagstick', 'dual')",1,3,0
1532,"('switch', 'technology', 'pinseeker')",1,0,1
1531,"('onto', 'flagstick')",1,1,1
1530,"('slope', 'pinseeker', 'jolt')",1,1,0
1529,"('know', 'lock')",1,0,1
1528,"('slope', 'technology', 'jolt')",1,1,1
1527,"('jolt', 'know')",1,1,0
1526,"('slope', 'technology', 'pinseeker')",1,0,1
1525,"('locate', 'jolt')",1,1,1
1524,"('slope', 'switch', 'jolt')",1,1,0
1523,"('easy', 'locate')",1,0,1
1522,"('slope', 'switch', 'pinseeker')",1,1,1
1521,"('bushnell', 'pinseeker')",1,1,0
1518,"('magnification', 'technology', 'pinseeker')",1,1,0
1516,"('magnification', 'switch', 'pinseeker')",1,1,1
1515,"('look', 'shopping')",1,1,0
1000,"('reviews', 'picsbushnell', 'tour')",1,1,1
0,"('rangefinder', 'under', 'golf')",1,1,0
998,"('price', 'tour', 'joltmax')",1,0,4
540,"('money', 'rating', 'best')",1,2,0
372,"('golf', 'laser', 'tour')",1,1,0
371,"('equipment', 'every')",1,0,1
368,"('best', 'rangefinder', 'tour')",1,0,1
367,"('essential', 'golf')",1,5,1
366,"('best', 'laser', 'tour')",1,4,0
365,"('rangefinder', 'essential')",1,0,1
364,"('best', 'laser', 'rangefinder')",1,1,2
362,"('best', 'golf', 'tour')",1,0,1
361,"('golf', 'rangefindera')",1,1,1
358,"('jolt', 'laser', 'rangefinder')",1,1,1
357,"('golf', 'slope')",1,1,0
356,"('jolt', 'golf', 'rangefinder')",1,0,1
355,"('measurements', 'precision')",1,3,1
354,"('jolt', 'golf', 'laser')",1,3,0
353,"('comprehensive', 'measurements')",1,0,1
352,"('jolt', 'best', 'rangefinder')",1,1,2
351,"('accurate', 'comprehensive')",1,1,0
350,"('jolt', 'best', 'laser')",1,0,1
349,"('rely', 'accurate')",1,3,1
348,"('jolt', 'best', 'golf')",1,2,0
347,"('golfer', 'rely')",1,0,1
346,"('tour', 'golf', 'laser')",1,1,1
344,"('tour', 'best', 'laser')",1,0,1
373,"('golfer', 'course')",1,2,2
374,"('golf', 'laser', 'rating')",1,0,1
375,"('course', 'makes')",1,2,0
389,"('high', 'performing')",1,0,1
399,"('golf', 'always')",1,12,0
398,"('rangefinder', 'rating', 'best')",1,0,1
397,"('like', 'precision')",1,3,1
396,"('rangefinder', 'tour', 'best')",1,4,0
395,"('quality', 'like')",1,0,1
394,"('rangefinder', 'tour', 'bushnell')",1,5,2
393,"('notch', 'quality')",1,1,0
392,"('rangefinder', 'tour', 'rating')",1,0,1
391,"('performing', 'notch')",1,2,1
390,"('laser', 'rating', 'bushnell')",1,1,0
388,"('laser', 'tour', 'bushnell')",1,1,1
377,"('makes', 'distance')",1,0,1
387,"('something', 'high')",1,2,0
386,"('laser', 'tour', 'rating')",1,0,1
385,"('accurate', 'something')",1,1,1
384,"('laser', 'rangefinder', 'bushnell')",1,4,0
383,"('easier', 'accurate')",1,0,1
382,"('laser', 'rangefinder', 'rating')",1,2,1
381,"('measurement', 'easier')",1,9,0
380,"('laser', 'rangefinder', 'tour')",1,0,1
379,"('distance', 'measurement')",1,1,1
378,"('golf', 'tour', 'rating')",1,1,0
343,"('reviews', 'every')",1,2,2
341,"('three', 'golf')",1,0,2
340,"('tour', 'jolt', 'laser')",1,5,1
292,"('rangefinder', 'slope', 'tour')",1,2,1
305,"('game', 'offering')",1,0,1
304,"('slope', 'rating', 'jolt')",1,1,1
302,"('slope', 'rating', 'tour')",1,0,3
301,"('game', 'value')",1,1,1
300,"('slope', 'rating', 'bushnell')",1,1,0
299,"('right', 'game')",1,0,1
297,"('finding', 'right')",1,1,0
296,"('rangefinder', 'rating', 'tour')",1,0,1
295,"('issue', 'finding')",1,1,1
293,"('real', 'issue')",1,0,1
291,"('however', 'real')",1,1,0
307,"('offering', 'reliable')",1,1,1
290,"('rangefinder', 'slope', 'bushnell')",1,0,1
289,"('problem', 'however')",1,2,1
288,"('rangefinder', 'slope', 'rating')",1,1,0
287,"('never', 'problem')",1,0,1
286,"('golf', 'rating', 'bushnell')",1,1,1
285,"('finding', 'never')",1,1,0
284,"('golf', 'slope', 'bushnell')",1,0,1
283,"('shapes', 'finding')",1,1,1
282,"('golf', 'slope', 'rating')",1,1,0
281,"('sizes', 'shapes')",1,0,1
306,"('slope', 'bushnell', 'tour')",1,1,0
308,"('slope', 'bushnell', 'jolt')",1,0,1
339,"('following', 'three')",1,1,0
323,"('make', 'gaming')",1,0,1
337,"('player', 'following')",1,2,1
336,"('tour', 'jolt', 'best')",1,1,0
335,"('better', 'player')",1,0,1
333,"('become', 'better')",1,1,0
331,"('help', 'become')",1,1,1
330,"('bushnell', 'jolt', 'best')",1,1,0
329,"('also', 'help')",1,0,1
327,"('experience', 'also')",1,1,0
326,"('bushnell', 'tour', 'best')",1,0,1
325,"('gaming', 'experience')",1,1,1
322,"('rating', 'jolt', 'best')",1,1,2
310,"('slope', 'tour', 'jolt')",1,1,1
321,"('rangefinders', 'make')",1,1,0
320,"('rating', 'tour', 'best')",1,0,1
319,"('player', 'rangefinders')",1,6,1
318,"('rating', 'tour', 'jolt')",1,1,0
317,"('whether', 'player')",1,0,1
315,"('information', 'whether')",1,1,0
314,"('rating', 'bushnell', 'jolt')",1,0,1
313,"('fast', 'information')",1,1,1
312,"('rating', 'bushnell', 'tour')",1,1,0
311,"('accurate', 'fast')",1,0,1
400,"('rangefinder', 'bushnell', 'best')",1,1,1
402,"('tour', 'rating', 'bushnell')",1,1,0
403,"('confident', 'reliable')",1,2,1
485,"('measurements', 'amazon')",1,0,1
509,"('compensates', 'elevation')",1,0,11
508,"('best', 'golf', 'money')",1,1,1
507,"('rangefinder', 'compensates')",1,3,0
506,"('rangefinder', 'rangefinder', 'money')",1,0,31
505,"('highlights', 'rangefinder')",1,1,1
504,"('rangefinder', 'golf', 'money')",1,1,0
503,"('technology', 'highlights')",1,0,2
501,"('slope', 'adaptive')",1,2,0
500,"('rangefinder', 'best', 'money')",1,0,2
499,"('best', 'adaptive')",1,1,1
483,"('read', 'measurements')",1,1,0
512,"('best', 'money', 'rating')",1,0,8
482,"('tectectec', 'best', 'golf')",1,0,1
480,"('tectectec', 'rangefinder', 'golf')",1,1,0
478,"('tectectec', 'rangefinder', 'best')",1,1,1
477,"('optics', 'make')",1,1,0
476,"('tectectec', 'vpro', 'golf')",1,0,1
475,"('crisp', 'optics')",1,1,1
474,"('tectectec', 'vpro', 'best')",1,2,0
473,"('clear', 'crisp')",1,0,1
472,"('tectectec', 'vpro', 'rangefinder')",1,1,1
471,"('battery', 'clear')",1,1,0
511,"('elevation', 'also')",1,1,1
513,"('also', 'turned')",1,2,0
469,"('never', 'battery')",1,1,1
527,"('never', 'guess')",1,0,2
538,"('money', 'rating', 'list')",1,2,1
537,"('even', 'look')",1,1,0
536,"('money', 'rating', 'this')",1,0,1
535,"('target', 'even')",1,1,1
534,"('rangefinder', 'this', 'list')",1,1,0
533,"('onto', 'target')",1,0,2
532,"('rangefinder', 'rating', 'list')",1,1,1
530,"('rangefinder', 'rating', 'this')",1,0,2
529,"('guess', 'lock')",1,1,1
528,"('rangefinder', 'money', 'list')",1,1,0
526,"('rangefinder', 'money', 'this')",1,1,1
514,"('golf', 'rangefinder', 'money')",1,1,1
525,"('technology', 'never')",1,1,0
524,"('rangefinder', 'money', 'rating')",1,0,2
523,"('rangefinder', 'pulse')",1,1,1
522,"('golf', 'rating', 'this')",1,1,0
521,"('legal', 'rangefinder')",1,0,2
520,"('golf', 'money', 'this')",1,1,1
518,"('golf', 'money', 'rating')",1,0,2
517,"('make', 'tournament')",1,2,1
516,"('golf', 'rangefinder', 'this')",1,1,0
515,"('turned', 'make')",1,0,14
470,"('rating', 'rangefinder', 'best')",1,0,1
468,"('rating', 'vpro', 'best')",1,1,0
404,"('tour', 'rating', 'best')",1,0,1
420,"('rating', 'golf', 'rangefinder')",1,2,0
435,"('yards', 'also')",1,1,0
434,"('best', 'rangefinder', 'tectectec')",1,0,1
433,"('technology', 'range')",1,1,1
432,"('best', 'golf', 'tectectec')",1,1,0
430,"('bushnell', 'rangefinder', 'rating')",1,1,1
428,"('bushnell', 'golf', 'rating')",1,0,1
427,"('technology', 'pulse')",1,1,1
424,"('bushnell', 'best', 'rating')",1,1,1
422,"('bushnell', 'best', 'rangefinder')",1,0,3
421,"('tournaments', 'target')",1,1,1
418,"('rating', 'best', 'rangefinder')",1,1,1
438,"('golf', 'rangefinder', 'tectectec')",1,1,0
417,"('makes', 'legal')",1,4,0
415,"('function', 'makes')",1,1,1
414,"('rating', 'bushnell', 'rangefinder')",1,1,0
